name,
"Citizens' dialogues and Citizens' participation in the EU decision-making",0
"EU-NATO cooperation in the context of transatlantic relations",0
"Old continent growing older - possibilities and challenges related to ageing policy post 2020",0
"Connecting Europe Facility",0
"Measures necessary for the implementation of the Protocol, annexed to the Treaty establishing the European Community, on the financial consequences of the expiry of the ECSC Treaty and on the Research Fund for Coal and Steel",1
"Managing the assets of the ECSC in liquidation and of the Research Fund for Coal and Steel",1
"Visa Information System (VIS): conditions for accessing other EU information systems for VIS",0
"The creation of guidelines for the application of the general regime of conditionality for the protection of the Union budget",0
"EU global human rights sanctions regime (EU Magnitsky Act)",0
"Integrated Border Management Fund: Instrument for Financial Support for Border Management and Visa Policy 2021-2027",0
"Annual Report on the functioning of the Schengen area",0
"Citizens' dialogues and Citizens' participation in the EU decision-making",0
"EU-NATO cooperation in the context of transatlantic relations",0
"Old continent growing older - possibilities and challenges related to ageing policy post 2020",0
"European Medicines Agency",0
"General Union Environment Action Programme to 2030",0
"A new ERA for Research and Innovation",0
"The creation of guidelines for the application of the general regime of conditionality for the protection of the Union budget",0
"EU global human rights sanctions regime (EU Magnitsky Act)",0
"Annual Report on the functioning of the Schengen area",0
"The case of Ahmadreza Djalali in Iran",0
"Hong Kong, notably the case of Apple Daily",0
"The death penalty in Saudi Arabia, notably the cases of Mustafa Hashem al-Darwish and Abdullah al-Howaiti",0
"Review of the macroeconomic legislative framework",0
"Situation in Nicaragua",0
"The repression of the opposition in Turkey, specifically HDP",0
"Establishment of Antarctic Marine Protected Areas (MPAs) and the conservation of Southern Ocean biodiversity",1
"Breaches of EU law and of the rights of LGBTIQ citizens in Hungary as a result of the adopted legal changes in the Hungarian Parliament",0
"European Medicines Agency",0
"General Union Environment Action Programme to 2030",1
"A new ERA for Research and Innovation",0
"Numerical strength of the special committees and the committee of inquiry",0
"The case of Ahmadreza Djalali in Iran",0
"Hong Kong, notably the case of Apple Daily",0
"The death penalty in Saudi Arabia, notably the cases of Mustafa Hashem al-Darwish and Abdullah al-Howaiti",0
"Review of the macroeconomic legislative framework",0
"Situation in Nicaragua",0
"The repression of the opposition in Turkey, specifically HDP",0
"Establishment of Antarctic Marine Protected Areas (MPAs) and the conservation of Southern Ocean biodiversity",0
"Breaches of EU law and of the rights of LGBTIQ citizens in Hungary as a result of the adopted legal changes in the Hungarian Parliament",0
"Transitional provisions for certain in vitro diagnostic medical devices and deferred application of requirements for in-house devices",0
"Combating gender-based violence: cyberviolence",0
"Union tariff rate quota for high quality beef from Paraguay",0
"European Year of Youth 2022",0
"Joint investigation teams: alignment with Union rules on the protection of personal data",0
"European Investigation Order in criminal matters: alignment with Union rules on the protection of personal data",0
"Combating gender-based violence: cyberviolence",0
"Mobilisation of the European Union Solidarity Fund to provide assistance to Croatia",0
"Mobilisation of the European Globalisation Adjustment Fund: application EGF/2021/003 IT/Porto Canale - Italy",0
"Mobilisation of the European Globalisation Adjustment Fund: application EGF/2021/002 IT/Air Italy - Italy",0
"Mobilisation of the European Globalisation Adjustment Fund: application EGF/2021/004 ES/Aragn automotive - Spain",0
"Predictability for Member States and procedures for dispute resolution when making available the traditional, VAT and GNI based own resources",0
"EU-US air transport agreement",0
"EC/Gabon Fisheries Partnership Agreement: Implementing Protocol",0
"Digital Markets Act",0
"Equality between women and men in the European Union in 2018-2020",0
"Implementation of the Energy Performance of Buildings Directive",1
"Challenges and prospects for multilateral weapons of mass destruction arms control and disarmament regimes",0
"European framework for employees' participation rights and the revision of the European Works Council Directive",0
"Transitional provisions for certain in vitro diagnostic medical devices and deferred application of requirements for in-house devices",0
"Digital Markets Act",0
"Equality between women and men in the European Union in 2018-2020",0
"The impact of organised crime on own resources of the EU and on the misuse of EU funds",0
"Avoiding corruption, irregular spending and misuse of EU and national funds in case of emergency funds and crisis related spending areas",0
"Implementation of the Energy Performance of Buildings Directive",0
"Challenges and prospects for multilateral weapons of mass destruction arms control and disarmament regimes",0
"New orientations for the EU's humanitarian action",0
"Cooperation on the fight against organised crime in the Western Balkans",0
"Deliberations of the Committee on Petitions in 2020",0
"European framework for employees' participation rights and the revision of the European Works Council Directive",0
"Continuous crackdown on civil society and human rights defenders in Russia: the case of human rights organisation Memorial",0
"The situation in Cuba, namely  the cases of Jos Daniel Ferrer, Lady in White Aymara Nieto, Maykel Castillo, Luis Robles, Flix Navarro, Luis Manuel Otero, Reverend Lorenzo Rosales Fajardo, Andy Dunier Garca and Yunior Garca Aguilera",0
"Forced labour in the Linglong factory and environmental protests in Serbia",1
"Fundamental rights and Rule of Law in Slovenia, in particular the delayed nomination of EPPO prosecutors",0
"The situation in Nicaragua",0
"MeToo and harassment",0
"Situation at the Ukrainian border and in Russian-occupied territories of Ukraine",0
"Continuous crackdown on civil society and human rights defenders in Russia: the case of human rights organisation Memorial",0
"The situation in Cuba, namely the cases of Jos Daniel Ferrer, Lady in White Aymara Nieto, Maykel Castillo, Luis Robles, Flix Navarro, Luis Manuel Otero, Reverend Lorenzo Rosales Fajardo, Andy Dunier Garca and Yunior Garca Aguilera",0
"Forced labour in the Linglong factory and environmental protests in Serbia",1
"Fundamental rights and Rule of Law in Slovenia, in particular the delayed nomination of EPPO prosecutors",0
"The situation in Nicaragua",0
"MeToo and harassment",0
"Situation at the Ukrainian border and in Russian-occupied territories of Ukraine",0
"Implementation of the Kimberley Process Certification scheme",0
"Community plant variety rights: extension of the term for certain varieties",1
"Extension of validity of safety certificates and licences of railway undertakings operating in the Channel tunnel",0
"Association of the Overseas Countries and Territories with the European Union",0
"LGBTIQ rights in the EU",0
"Towards Future-proof Inland Waterway Transport (IWT) in Europe",0
"Towards a stronger partnership with the EU outermost regions",0
"A new approach to the Atlantic maritime strategy",0
"European Centre for Disease Prevention and Control",0
"Serious cross-border threats to health",0
"Draft amending budget No 1/2021: Brexit Adjustment Reserve",0
"Extension of validity of safety certificates and licences of railway undertakings operating in the Channel tunnel",0
"Official controls on animals and products of animal origin in order to ensure compliance with the prohibition of certain uses of antimicrobials",0
"Brexit Adjustment Reserve",0
"EU Blue Card Directive",0
"Instrument for pre-accession assistance (IPA III) 2021-2027",0
"European Centre for Disease Prevention and Control",0
"Serious cross-border threats to health",0
"Objection pursuant to Rule 111(3): Criteria for the designation of antimicrobials to be reserved for the treatment of certain infections in humans",0
"A new EU-China strategy",0
"Direction of EU-Russia political relations",0
"Guidelines for the employment policies of the Member States",0
"Fair working conditions, rights and social protection for platform workers - New forms of employment linked to digital development",0
"Fishers for the future",1
"Plans and actions to accelerate a transition to innovation without the use of animals in research, regulatory testing and education",0
"Visa Facilitation Agreement between the EU and Cabo Verde",0
"Amending Council Framework Decision 2002/465/JHA, as regards its alignment with EU rules on the protection of personal data",0
"European Investigation Order in criminal matters: alignment with EU rules on the protection of personal data",0
"EU-Korea agreement: certain aspects of air services",0
"Identifying gender-based violence as a new area of crime listed in Article 83(1) TFEU",0
"Objection pursuant to Rule 111(3): Criteria for the designation of antimicrobials to be reserved for the treatment of certain infections in humans",0
"A new EU-China strategy",0
"Direction of EU-Russia political relations",0
"Guidelines for the employment policies of the Member States",0
"Fair working conditions, rights and social protection for platform workers - New forms of employment linked to digital development",0
"Fishers for the future",1
"Plans and actions to accelerate a transition to innovation without the use of animals in research, regulatory testing and education",1
"Government crackdown on protests and citizens in Cuba",0
"The case of human rights defender Ahmed Mansoor in UAE",0
"The situation in Kakuma refugee camp in Kenya",0
"Implementation of EU requirements for exchange of tax information",0
"Situation in Afghanistan",0
"Situation in Lebanon",0
"Media freedom and further deterioration of the Rule of law in Poland",0
"Strengthening transparency and integrity in the EU institutions by setting up an independent EU ethics body",0
"Identifying gender-based violence as a new area of crime listed in Article 83(1) TFEU",0
"Government crackdown on protests and citizens in Cuba",0
"The case of human rights defender Ahmed Mansoor in UAE",0
"The situation in Kakuma refugee camp in Kenya",0
"Implementation of EU requirements for exchange of tax information",0
"Situation in Afghanistan",0
"Situation in Lebanon",0
"Media freedom and further deterioration of the Rule of law in Poland",0
"Strengthening transparency and integrity in the EU institutions by setting up an independent EU ethics body",0
"Control of the acquisition and possession of weapons (codification)",0
"Temporary measures concerning the validity of certificates and licences (Omnibus II)",0
"Establishing the Recovery and Resilience Facility",0
"European Central Bank - annual report 2020 ",0
"New Circular Economy Action Plan",0
"Implementation of the Anti-Trafficking Directive",0
"Implementation of Article 43 of the Asylum Procedures Directive",0
"Reducing inequalities with a special focus on in-work poverty",0
"The impact of Covid-19 on youth and on sport",0
"Establishing the Recovery and Resilience Facility",0
"European Central Bank - annual report 2020 ",0
"New Circular Economy Action Plan",0
"Implementation of the Anti-Trafficking Directive",0
"Implementation of Article 43 of the Asylum Procedures Directive",0
"Reducing inequalities with a special focus on in-work poverty",0
"The impact of Covid-19 on youth and on sport",0
"Slot utilisation rules at Union airports: temporary relief",0
"Temporary measures concerning the validity of certificates and licences (Omnibus II)",0
"EU Association Agreement with Ukraine",0
"European Skills Agenda for sustainable competitiveness, social fairness and resilience",0
"Markets in financial instruments",0
"	EU Recovery prospectus and targeted adjustments for financial intermediaries to help the recovery from the COVID-19 pandemic",0
"Slot utilisation rules at Union airports: temporary relief",0
"Temporary measures concerning the validity of certificates and licences (Omnibus II)",0
"EU Association Agreement with Ukraine",0
"European Skills Agenda for sustainable competitiveness, social fairness and resilience",0
"Challenges ahead for women's rights: more than 25 years after the Beijing Declaration and Platform for Action",0
"Humanitarian and political situation in Yemen",0
"The situation in Myanmar",0
"Rwanda, the case of Paul Rusesabagina",0
"Human rights situation in Kazakhstan",0
"Political situation in Uganda",0
"Safety of the nuclear power plant in Ostrovets (Belarus)",1
"Humanitarian and political situation in Yemen",0
"The situation in Myanmar",0
"Rwanda, the case of Paul Rusesabagina",0
"Human rights situation in Kazakhstan",0
"Political situation in Uganda",0
"Challenges ahead for women's rights: more than 25 years after the Beijing Declaration and Platform for Action",0
"Reinhard Btikofer",0
"Challenges of sports events organisers in the digital environment",0
"Research Fund for Coal and Steel",1
"The impacts of climate change on vulnerable populations in developing countries",1
"Just transition fund",0
"Review of the European Union Solidarity Fund", 0
"Exchange, assistance and training programme for the protection of the euro against counterfeiting for the period 2021-2027 (Pericles IV programme): extension to the non-participating Member States",0
"EU/Cuba Agreement: modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV as a consequence of the United Kingdom's withdrawal from the European Union",0
"Protocol to the Euro-Mediterranean Association Agreement EU/Tunisia (accession of Croatia)",0
"Protocol to the EU/Central America Association Agreement (accession of Croatia)",0
"Agreement EU/USA/Iceland/Norway: Time Limitations on Arrangements for the Provision of Aircraft with Crew",0
"Dock dues scheme in the French outermost regions",0
"Securing the objectives of the landing obligation under Article 15 of the Common Fisheries Policy",1
"Common system of value added tax: exemptions on importations and on certain supplies, in respect of Union measures in the public interest",0
"Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/002 EE/Tourism",0
"Mobilisation of the European Union Solidarity Fund to provide assistance to Greece and France in relation to natural disasters and to Albania, Austria, Belgium, Croatia, Czechia, Estonia, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Montenegro, Portugal, Romania, Serbia, Spain in relation to a public health emergency",0
"Draft amending budget No 2/2021: financing the COVID-19 response and including refinements and updates related to the final adoption of the Multiannual Financial Framework",0
"A European Strategy for Energy System Integration",1
"A European Strategy for Hydrogen",1
"Challenges of sports events organisers in the digital environment",0
"Research Fund for Coal and Steel",1
"The impacts of climate change on vulnerable populations in developing countries",1
"Human rights protection and the EU external migration policy",0
"2019-2020 Reports on Turkey",0
"2019-2020 Reports on Montenegro",0
"The effects of climate change on human rights and the role of environmental defenders on this matter",1
"Artificial intelligence in education, culture and the audiovisual sector",0
"Creative Europe Programme",0
"Impacts of EU rules on the free movements of workers and services: intra-EU labour mobility as a tool to match labour market needs and skills",0
"Accelerating progress and tackling inequalities towards ending AIDS as a public health threat by 2030",0
"A European Strategy for Energy System Integration",1
"A European Strategy for Hydrogen",1
"Human rights protection and the EU external migration policy",0
"2019-2020 Reports on Turkey",0
"2019-2020 Reports on Montenegro",0
"The effects of climate change on human rights and the role of environmental defenders on this matter",1
"European Union Agency for Fundamental Rights: interim report",0
"New Avenues for Legal Labour Migration",0
"Digital future of Europe: digital single market and use of AI for European consumers",0
"Reversing demographic trends in EU regions using cohesion policy instruments",0
"Impacts of EU rules on the free movements of workers and services: intra-EU labour mobility as a tool to match labour market needs and skills",0
"Accelerating progress and tackling inequalities towards ending AIDS as a public health threat by 2030",0
"The situation in Haiti",0
"The situation in Chad",0
"Environment: The Aarhus Regulation",1
"Chinese countersanctions on EU entities and MEPs and MPs",0
"Data Protection Commissioner v Facebook Ireland Limited, Maximillian Schrems ('Schrems II') - Case C-311/18",0
"The adequate protection of personal data by the United Kingdom",0
"Prisoners of war in the aftermath of the most recent conflict between Armenia and Azerbaijan",0
"The situation in Haiti",0
"The situation in Chad",0
"Environment: The Aarhus Regulation",0
"Chinese countersanctions on EU entities and MEPs and MPs",0
"Data Protection Commissioner v Facebook Ireland Limited, Maximillian Schrems ('Schrems II') - Case C-311/18",0
"The right of information of the Parliament regarding the ongoing assessment of the national recovery and resilience plans",0
"European Union Agency for Fundamental Rights: interim report",0
"Liability of companies for environmental damage",2
"New Avenues for Legal Labour Migration",0
"Digital future of Europe: digital single market and use of AI for European consumers",0
"The adequate protection of personal data by the United Kingdom",0
"Transitional provisions of certain machinery fitted with engines in the power range between 56kW and 130kW, and above 300kW in order to address the impact of COVID-19 crisis",0
"ETIAS consequential amendments: police and judicial cooperation",0
"ETIAS consequential amendments: borders and visa",0
"Allemagne - Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/003 DE/GMH Guss",0
"Belgique - Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/005 BE/Swissport",0
"Pays Bas - Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/004 NL/KLM",0
"Finlande - Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/007 FI/Finnai0r",
"ETIAS consequential amendments: ECRIS-TCN",0
"Competition policy - annual report 2020",0
"EU Biodiversity Strategy for 2030: Bringing nature back into our lives",1
"The gender dimension in Cohesion Policy",0
"ETIAS consequential amendments: ECRIS-TCN",0
"EU Digital COVID Certificate - Union citizens",0
"EU Digital COVID Certificate - third-country nationals",0
"75th and the 76th sessions of the United Nations General Assembly",0
"Competition policy - annual report 2020",0
"The gender dimension in Cohesion Policy",0
"EU Biodiversity Strategy for 2030: Bringing nature back into our lives",0
"75th and the 76th sessions of the United Nations General Assembly",0
"Neighbourhood, Development and International Cooperation Instrument 2021-2027 - Global Europe",0
"The conflict of interest of the Prime Minister of the Czech Republic",0
"Meeting the Global Covid-19 challenge: effects of waiver of the WTO TRIPS agreement on Covid-19 vaccines, treatment, equipment and increasing production and manufacturing capacity in developing countries",0
"The EU's Cybersecurity Strategy for the Digital Decade",0
"Regulations and general conditions governing the performance of the Ombudsman's duties",0
"Transitional provisions of certain machinery fitted with engines in the power range between 56kW and 130kW, and above 300kW in order to address the impact of COVID-19 crisis",0
"The conflict of interest of the Prime Minister of the Czech Republic",0
"Meeting the Global Covid-19 challenge: effects of waiver of the WTO TRIPS agreement on Covid-19 vaccines, treatment, equipment and increasing production and manufacturing capacity in developing countries",0
"Objection pursuant to Rule 112(2) and (3): Maximum residue limit for imidacloprid",0
"Breach of the UN Convention of the Rights of the Child and the use of minors by the Moroccan authorities in the migratory crisis in Ceuta",0
"The situation in Sri Lanka, in particular the arrests under the Prevention of Terrorism Act",0
"The listing of German NGOs as 'undesirable organisations' by Russia and the detention of Andrei Pivovarov",0
"Human rights and political situation in Cuba",0
"Systematic repression in Belarus and its consequences for European security following abductions from an EU civilian plane intercepted by Belarusian authorities",0
"The situation in Afghanistan",0
"European Citizens' Initiative 'End the cage age'",0
"Promoting gender equality in science, technology, engineering and mathematics (STEM) education and careers",0
"The EU's Cybersecurity Strategy for the Digital Decade",0
"Rule of Law situation in the European Union and the application of the conditionality regulation 2020/2092",0
"Breach of the UN Convention of the Rights of the Child and the use of minors by the Moroccan authorities in the migratory crisis in Ceuta",0
"The situation in Sri Lanka, in particular the arrests under the Prevention of Terrorism Act",0
"The listing of German NGOs as 'undesirable organisations' by Russia and the detention of Andrei Pivovarov",0
"Human rights and political situation in Cuba",0
"Systematic repression in Belarus and its consequences for European security following abductions from an EU civilian plane intercepted by Belarusian authorities",0
"The situation in Afghanistan",0
"European Citizens' Initiative 'End the cage age'",1
"Promoting gender equality in science, technology, engineering and mathematics (STEM) education and careers",0
"Future EU financing of the Euranet Plus radio network",0
"Sexual and reproductive health and rights in the EU, in the frame of women's health",0
"Conservation and enforcement measures applicable in the Regulatory Area of the Northwest Atlantic Fisheries Organisation (NAFO)",0
"Cross-border payments in the Union (codification)",0
"Regulations and general conditions governing the performance of the Ombudsman's duties",0
"EU/Thailand Agreement: modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV as a consequence of the United Kingdom's withdrawal from the European Union",0
"EU/Indonesia Agreement: modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV as a consequence of the United Kingdom's withdrawal from the European Union",0
"Official controls on animals and products of animal origin in order to ensure compliance with the prohibition of certain uses of antimicrobials",1
"Challenges and opportunities for the fishing sector in the Black Sea",1
"The role of the EU's development cooperation and humanitarian assistance in addressing the consequences of the COVID-19 pandemic",0
"Official controls on animals and products of animal origin in order to ensure compliance with the prohibition of certain uses of antimicrobials",1
"European Climate Law",1
"Public sector loan facility under the Just Transition Mechanism",0
"Commission's 2020 Rule of law report",0
"Sexual and reproductive health and rights in the EU, in the frame of women's health",0
"25th anniversary of the International Conference on Population and Development (ICPD25) (Nairobi Summit)",0
"Regulatory fitness, subsidiarity and proportionality - report on Better Law Making 2017, 2018 and 2019",0
"2019-2020 Reports on Bosnia and Herzegovina",0
"Public sector loan facility under the Just Transition Mechanism",0
"Official controls on animals and products of animal origin in order to ensure compliance with the prohibition of certain uses of antimicrobials",1
"Commission's 2020 Rule of law report",0
"Sexual and reproductive health and rights in the EU, in the frame of women's health",0
"25th anniversary of the International Conference on Population and Development (ICPD25) (Nairobi Summit)",0
"Regulatory fitness, subsidiarity and proportionality - report on Better Law Making 2017, 2018 and 2019",0
"2019-2020 Reports on Bosnia and Herzegovina",0
"Environment: The Aarhus Regulation",0
"Proposal on the setting-up of a delegation to the EU-UK Parliamentary Assembly, and defining its numerical strength",0
"Sustainable Fisheries Partnership Agreement EU/Greenland and Denmark",1
"Sustainable Fisheries Partnership Agreement EU/Greenland and Denmark (resolution)",1
"Temporarily suspending autonomous Common Customs Tariff duties on imports of certain industrial products into the Canary Islands",0
"The role of development policy in the response to biodiversity loss in developing countries, in the context of the achievement of the 2030 Agenda",0
"Artificial intelligence in criminal law and its use by the police and judicial authorities in criminal matters",0
"The impact of intimate partner violence and custody rights on women and children",0
"Rebuilding fish stocks in the Mediterranean",1
"The role of development policy in the response to biodiversity loss in developing countries, in the context of the achievement of the 2030 Agenda",0
"Artificial intelligence in criminal law and its use by the police and judicial authorities in criminal matters",0
"The impact of intimate partner violence and custody rights on women and children",0
"EU Road Safety Policy Framework 2021-2030 - Recommendations on next steps towards 'Vision Zero'",0
"Rebuilding fish stocks in the Mediterranean",1
"Objection pursuant to Rule 112(2) and (3): Active substances, including chlorotoluron and difenoconazole",0
"Objection pursuant to Rule 111(3): Technical screening criteria for determining the conditions under which an economic activity qualifies as contributing substantially to climate change mitigation or climate change adaptation and for determining whether that economic activity causes no significant harm to any of the other environmental objectives",1
"The future of EU-US relations",0
"Implementation report on the EU Trust Funds and the Facility for Refugees in Turkey",0
"State of EU cyber defence capabilities",0
"The Arctic: opportunities, concerns and security challenges",0
"The protection of persons with disabilities through petitions: lessons learnt",0
"Banking Union - annual report 2020",0
"Reforming the EU policy on harmful tax practices (including the reform of the Code of Conduct Group)",0
"Implementation report on the EU Trust Funds and the Facility for Refugees in Turkey",0
"State of EU cyber defence capabilities",0
"The Arctic: opportunities, concerns and security challenges",0
"The protection of persons with disabilities through petitions: lessons learnt",0
"Banking Union - annual report 2020",0
"Reforming the EU policy on harmful tax practices (including the reform of the Code of Conduct Group)",0
"Human rights situation in Myanmar, including the situation of religious and ethnic groups",0
"The state law relating to abortion in Texas, USA",0
"The situation in Belarus after one year of protests and their violent repression",0
"Humanitarian situation in Tigray",0
"Human rights situation in Myanmar, including the situation of religious and ethnic groups",0
"The case of Paul Rusesabagina in Rwanda",0
"The state law relating to abortion in Texas, USA",0
"The situation in Belarus after one year of protests and their violent repression",0
"Humanitarian situation in Tigray",0
"Draft amending budget 4/2021: Update of revenue, revised forecast of own resources and other revenue",0
"2019 Discharge: EU general budget - Council and European Council",0
"Credit servicers and credit purchasers",0
"Farm to Fork Strategy",1
"Employment and social policies of the euro area 2021",0
"Protecting workers from asbestos",0
"Europe's Media in the Digital Decade",0
"The situation of artists and the cultural recovery in the EU",0
"EU-Taiwan political relations and cooperation",0
"Farm to Fork Strategy",1
"Employment and social policies of the euro area 2021",0
"Protecting workers from asbestos",0
"Europe's Media in the Digital Decade",0
"The effectiveness of Member States' use of EU Solidarity Fund money in cases of natural disasters",1
"The situation of artists and the cultural recovery in the EU",0
"General budget of the European Union for the financial year 2022 - all sections",0
"Joint Undertakings under Horizon Europe",0
"Motions for resolutions",0
"An EU strategy to reduce methane emissions",1
"Motions for resolutions",0
"EU-Taiwan political relations and cooperation",0
"General budget of the European Union for the financial year 2022 - all sections",0
"Amending Regulation (EU) 2016/794, as regards Europol's cooperation with private parties, the processing of personal data by Europol in support of criminal investigations, and Europol's role on research and innovation",0
"Amending Regulation (EU) 2018/1862 on the establishment, operation and use of the Schengen Information System (SIS) in the field of police cooperation and judicial cooperation in criminal matters as regards the entry of alerts by Europol",0
"Insurance of motor vehicles",0
"Pandora Papers: implications on the efforts to combat money laundering, tax evasion and avoidance",0
"The Rule of law crisis in Poland and the primacy of EU law",0
"Situation in Tunisia",0
"Climate, Energy and Environmental State aid guidelines ('CEEAG')",1
"2019 Discharge: European Border and Coast Guard Agency",0
"Joint Undertakings under Horizon Europe",0
"Motions for resolutions",0
"An EU strategy to reduce methane emissions",1
"UN Climate Change Conference in Glasgow, the UK (COP26)",1
"Pandora Papers: implications on the efforts to combat money laundering, tax evasion and avoidance",0
"The Rule of law crisis in Poland and the primacy of EU law",0
"Situation in Tunisia",0
"Climate, Energy and Environmental State aid guidelines ('CEEAG')",1
"2019 Discharge: European Border and Coast Guard Agency",0
"EU/Norway Agreement: modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV as a consequence of the United Kingdom's withdrawal from the European Union",0
"EU/Honduras Voluntary Partnership Agreement",0
"Implementation report on the road safety aspects of the Roadworthiness Package",0
"Chemical residues in the Baltic Sea based on petitions 1328/2019 and 0406/2020 under Rule 227(2)",0
"EU/Honduras Voluntary Partnership Agreement (Resolution)",0
"Interinstitutional agreement on mandatory transparency register",0
"More efficient and cleaner maritime transport",1
"The outcome of EU-UK negotiations",0
"Establishing Horizon Europe",0
"Specific Programme implementing Horizon Europe",0
"European Institute of Innovation and Technology",0
"Strategic Innovation Agenda of the European Institute of Innovation and Technology",0
"Union Civil Protection Mechanism",0
"EU/Honduras Voluntary Partnership Agreement (Resolution)",0
"Interinstitutional agreement on mandatory transparency register",0
"More efficient and cleaner maritime transport",1
"Objection pursuant to Rule 112(2) and (3), and (4)(c): Maximum residue levels for certain substances, including lufenuron",0
"Objection pursuant to Rule 112(2) and (3), and (4)(c): Maximum residue levels for certain substances, including flonicamid",0
"The EU-UK Trade and Cooperation Agreement",0
"The outcome of EU-UK negotiations",0
"2019 discharge: EU general budget - Commission and executive agencies",0
"2019 discharge: EU general budget - European Parliament",0
"2019 discharge: EU general budget - Council and European Council",0
